Word	X.period_P1	X.period_P2
cmb	2,1817	-2,1817
firm	2,1817	-2,1817
trawl	2,1817	-2,1817
macroporosity	2,1817	-2,1817
tifton	2,1817	-2,1817
lacustris	2,1817	-2,1817
perth	2,1817	-2,1817
mom	2,1817	-2,1817
aisa	2,1817	-2,1817
metropolitan	2,1647	-2,1647
rutilus	2,1597	-2,1597
eutro	2,1597	-2,1597
sturgeon	2,1597	-2,1597
dbp	2,1597	-2,1597
win	2,1597	-2,1597
shield	2,1597	-2,1597
gippsland	2,1597	-2,1597
programme	2,1566	-2,1566
clay	2,1417	-2,1417
marsh	2,1417	-2,1417
nile	2,1409	-2,1409
ct	2,1409	-2,1409
settle	2,1379	-2,1379
fit	2,1368	-2,1368
santa	2,1336	-2,1336
digestibility	2,1336	-2,1336
los	2,1336	-2,1336
heuristic	2,1336	-2,1336
sequentially	2,1324	-2,1324
cancer	2,1324	-2,1324
penaeus	2,1324	-2,1324
pyhajarvi	2,1324	-2,1324
raritan	2,1324	-2,1324
heterotrophs	2,1324	-2,1324
spawn	2,1324	-2,1324
acre	2,1309	-2,1309
ton	2,1233	-2,1233
cane	2,1217	-2,1217
mesohaline	2,1217	-2,1217
arc	2,1217	-2,1217
central	2,1199	-2,1199
flux	2,1123	-2,1123
initially	2,11	-2,11
agree	2,0996	-2,0996
variety	2,0915	-2,0915
adequately	2,0899	-2,0899
kinetics	2,0877	-2,0877
sar	2,0824	-2,0824
sheep	2,0661	-2,0661
supervise	2,0661	-2,0661
federal	2,0651	-2,0651
vsa	2,0642	-2,0642
elimination	2,0642	-2,0642
deer	2,0605	-2,0605
bioenergetics	2,0605	-2,0605
mile	2,0605	-2,0605
mercury	2,0578	-2,0578
fractionation	2,0534	-2,0534
bioavailable	2,0361	-2,0361
component	2,0271	-2,0271
rout	2,0268	-2,0268
agreement	2,0191	-2,0191
fishery	2,0158	-2,0158
puerto	2,012	-2,012
division	2,012	-2,012
oregon	2,012	-2,012
km	2,0044	-2,0044
morgan	2,0038	-2,0038
priori	2,0038	-2,0038
bottle	2,0038	-2,0038
instantaneous	1,9912	-1,9912
drastic	1,9873	-1,9873
linearly	1,9873	-1,9873
ship	1,9873	-1,9873
absorb	1,9873	-1,9873
day	1,9867	-1,9867
calibration	1,9865	-1,9865
horizon	1,9836	-1,9836
activate	1,9802	-1,9802
number	1,9772	-1,9772
apply	1,9696	-1,9696
